wdid,teff,logL,parallax,Dpc,G,BP,RP
* alf CMa B,26083.0,-1.53,374.4895885,2.67,8.524133,8.120362,8.398789
1RXS J041051.2+592522,30640.0,,10.52174286,95.04,14.724578,14.583176,14.989646
2MASS J01041212-5742485,7866.0,,15.68406265,63.76,16.312357,16.405785,16.046272
2MASS J02114816+2115491,12244.0,,16.81882844,59.46,16.765493,16.795078,16.746521
2MASS J02230030+5544272,6993.0,-3.7,26.11146855,38.30,16.858673,17.058525,16.529926
2MASS J02494417+3307251,5715.0,-3.94,28.00653358,35.71,16.986555,17.34158,16.48104
2MASS J03403873-0029447,7311.0,,19.97261694,50.07,17.04434,17.226685,16.735262
2MASS J03432310+1958133,7117.0,-3.71,48.17731639,20.76,15.617215,15.796421,15.295829
2MASS J04325585-3557289,4971.0,,38.01933746,26.30,16.7955,17.268536,16.162762
2MASS J04332980+0414477,4961.0,-3.97,41.16005815,24.30,16.898586,17.378908,16.260342
2MASS J04555136+3840505,5063.0,-4.04,30.9974848,32.26,17.394295,17.855951,16.776552
2MASS J05155350+2839169,6411.0,-3.55,33.26446429,30.06,16.397837,16.641909,15.99589
2MASS J06023672+0904237,5956.0,-3.61,26.8077488,37.30,16.837503,17.120296,16.35785
2MASS J06443019+2731115,6961.0,-3.9,25.92147182,38.58,16.940895,17.14242,16.58584
2MASS J06503681+1657538,5052.0,-3.96,34.25404436,29.19,17.177208,17.654522,16.56732
2MASS J06533021-3954292,6135.0,-3.45,40.34032644,24.79,15.92264,16.196466,15.48608
2MASS J06553850+5920276,12050.0,-2.8,11.68758926,85.56,14.806818,15.794577,13.577689
2MASS J07111440-2518152,10708.0,,18.90245698,52.90,14.445707,14.436425,14.368935
2MASS J07353430+6506487,6300.0,,10.43531678,95.83,18.860939,19.425367,17.56333
2MASS J07503233+0918580,5111.0,,22.44648927,44.55,17.935024,18.421658,17.341393
2MASS J07535663-2524016,4939.0,-4.02,56.1226046,17.82,16.030767,16.512772,15.397154
2MASS J07591942+3219485,14065.0,,10.92588494,91.53,15.585293,15.9144335,14.955475
2MASS J08075600+4854195,6546.0,,14.16271092,70.61,18.023554,18.24868,17.651257
2MASS J08095109+2250541,6660.0,,18.09501896,55.26,17.581615,17.836693,17.209063
2MASS J08203701+4310048,6925.0,,10.98055733,91.07,17.44925,17.653234,17.140665
2MASS J08313272+1322444,15819.0,,10.14528237,98.57,16.065731,16.021982,16.191277
2MASS J08554980+3700171,5757.0,-3.84,18.95481378,52.76,17.494827,17.861864,16.96329
2MASS J09063859+0700598,17262.0,,13.05003556,76.63,15.416757,15.358077,15.55391
2MASS J09071236+3643184,8632.0,,19.24976143,51.95,16.642948,16.752968,16.453112
2MASS J09160189+2259476,5794.0,,17.90551645,55.85,18.131645,18.479418,17.633839
