wdid,teff,logL,parallax,Dpc,G,BP,RP
2MASS J00274169-0300586,18570.0,,10.30537705,97.04,16.022053,15.942848,16.171131
2MASS J04221133-4741421,25970.0,,10.91523077,91.62,15.229489,15.128127,15.422566
2MASS J15545024+3254137,10603.0,,13.3528304,74.89,16.405487,16.421503,16.371485
2MASS J19200281-3611025,21963.0,-1.46,26.93593429,37.13,13.565456,13.467835,13.75279
EGGR 133,15626.0,-1.99,20.17637986,49.56,14.477647,14.40778,14.6009245
EGGR 316,15120.0,-2.27,21.75991503,45.96,14.9131975,14.847178,15.006705
EGGR 325,11960.0,-2.6,18.19192398,54.97,15.505498,15.492879,15.514554
EGGR 393,14697.0,-2.09,18.66378812,53.58,14.810551,14.746264,14.910198
EGGR 465,16610.0,-2.11,13.43683343,74.42,15.42067,15.350645,15.535762
EGGR 508,12759.0,-2.67,26.25775597,38.08,14.60943,14.57396,14.6411495
EGGR 513,18300.0,-1.68,23.10326059,43.28,13.896442,13.808235,14.061868
EGGR 583,11808.0,-2.54,28.77803882,34.75,14.605654,14.593197,14.60211
EGGR 904,16984.0,,13.86503146,72.12,15.603564,15.5267515,15.734172
EGGR 906,14149.0,-2.25,12.04129447,83.05,15.987832,15.93721,16.075113
EGGR 909,15170.0,-2.34,13.11364882,76.26,15.928297,15.878284,16.01965
Feige 4,18146.0,-1.86,12.61642091,79.26,15.342025,15.261702,15.484999
GD 122,12305.0,,13.37211645,74.78,16.04844,16.025171,16.073336
GD 124,13987.0,-2.26,13.83837697,72.26,15.7418165,15.695021,15.809572
GD 1363,11259.0,-2.73,17.91670937,55.81,15.690607,15.68869,15.672994
GD 190,20780.0,-1.43,15.46421458,64.67,14.655355,14.559064,14.831902
GD 198,23420.0,-1.32,10.79993964,92.59,15.45871,15.372169,15.616289
GD 205,19465.0,-1.71,15.24050028,65.61,14.823674,14.730168,14.987543
GD 229,23226.0,-2.54,32.50904134,30.76,14.773078,14.696679,14.924556
GD 233,17271.0,-1.86,18.85821192,53.03,14.502241,14.425266,14.6406765
GD 243,16839.0,-1.93,14.74847297,67.80,15.035814,14.960932,15.165854
GD 303,16500.0,-1.95,18.32702677,54.56,14.602592,14.525291,14.738448
GD 325,14480.0,-2.07,27.12903086,36.86,14.065881,14.003488,14.140784
GD 335,12634.0,-3.0,10.60681558,94.28,16.841702,16.82348,16.849258
GD 358,18811.0,-1.17,23.24407334,43.02,13.57994,13.475846,13.770005
GD 378,15453.0,-2.0,22.92442732,43.62,14.259247,14.19312,14.377449
GD 392,11064.0,-3.26,19.10992295,52.33,15.651419,15.654608,15.629132
GD 40,14430.0,-2.23,15.36177269,65.10,15.485593,15.437665,15.549918
GD 406,13959.0,-2.23,19.05527057,52.48,15.060637,15.015686,15.1263275
GD 408,13700.0,-2.4,28.98247311,34.50,14.27265,14.221807,14.328106
GD 435,13150.0,-2.44,13.55075508,73.80,15.991678,15.965022,16.026434
GD 61,15680.0,-2.04,18.55031378,53.91,14.823648,14.74976,14.947036
GD 85,16624.0,-1.94,16.65294332,60.05,14.864035,14.789566,14.989997
Gaia DR2 129351018954773120,13193.0,,13.19105947,75.81,16.421202,16.378849,16.491356
Gaia DR2 1653189438296186624,11190.0,,10.92330164,91.55,16.797682,16.794437,16.79791
Gaia DR2 1670115973129108864,10845.0,,12.21996066,81.83,16.579405,16.582788,16.57089
Gaia DR2 174676186786851840,10887.0,,10.16252257,98.40,17.177122,17.180042,17.15703
Gaia DR2 1810475401285228928,23181.0,,11.39561489,87.75,15.149797,15.045676,15.337891
Gaia DR2 1835056216381670272,11643.0,,10.02684412,99.73,16.867737,16.856483,16.883314
Gaia DR2 184735992329821312,12107.0,,13.3376435,74.98,16.099396,16.05835,16.156378
Gaia DR2 1932612039116771456,16002.0,,20.49800895,48.79,14.976299,14.904657,15.112943
Gaia DR2 2037426558458833408,10490.0,,20.87897528,47.90,15.706071,15.719333,15.665635
Gaia DR2 2098286588629682688,10921.0,,11.14506548,89.73,16.910696,16.926971,16.885466
Gaia DR2 2177744858009335552,11380.0,,10.52879403,94.98,16.540588,16.492907,16.568481
Gaia DR2 2214215452527501824,10180.0,,10.38572613,96.29,16.936672,16.947382,16.871052
Gaia DR2 2220815923910913920,10613.0,,18.52520574,53.98,15.864729,15.880032,15.825787
Gaia DR2 2251878261265268096,10741.0,,12.93597168,77.30,16.26347,16.251087,16.269299
Gaia DR2 2303857158072454912,13881.0,,12.69578611,78.77,15.500878,15.430467,15.633545
Gaia DR2 2316007551831656960,10583.0,,13.85526616,72.17,16.626276,16.655947,16.58373
Gaia DR2 237144321446511232,14102.0,,10.33604789,96.75,16.495924,16.440638,16.59671
