wdid,teff,logL,parallax,Dpc,G,BP,RP
2MASS J00022257+6357443,4879.0,-4.18,38.05764102,26.28,17.00943,17.518332,16.36698
2MASS J01503855-7207164,6838.0,,31.52925573,31.72,16.232738,16.427723,15.897209
2MASS J02145697+7746000,4798.0,-3.89,25.19995979,39.68,18.310844,18.86133,17.649282
2MASS J03092486+0025256,5561.0,,23.49876175,42.56,17.724411,18.074963,17.198112
2MASS J03105758+6634022,4681.0,-4.19,26.04373801,38.40,17.885513,18.44308,17.198189
2MASS J04010150+5131304,5064.0,-3.97,39.83565887,25.10,17.11259,17.56402,16.511269
2MASS J04255699+4614177,4479.0,-4.22,26.63385143,37.55,18.614243,19.146498,17.85478
2MASS J05265609+4435395,4680.0,-4.16,25.71342102,38.89,17.959332,18.509762,17.269272
2MASS J07085228-6706314,4862.0,-4.04,58.96127963,16.96,15.959545,16.452976,15.305003
2MASS J08221922+2023264,7038.0,-3.41,23.06040639,43.36,16.110666,16.266315,15.825933
2MASS J08490170+4439355,5907.0,-3.74,21.33933275,46.86,17.625668,17.914858,17.197912
2MASS J11182722-4721570,5910.0,-3.81,58.69943047,17.04,15.365386,15.648704,14.910942
2MASS J13131314+0226457,4278.0,-4.34,32.37919004,30.88,17.87363,18.56369,17.109234
2MASS J13453297+4200437,4648.0,-3.77,26.68873079,37.47,17.045164,17.600191,16.348473
2MASS J17432300+1434519,10224.0,-2.77,29.1316309,34.33,14.852632,14.872677,14.791416
2MASS J17470830+2859098,4832.0,-3.94,27.34047651,36.58,17.504,18.020596,16.84118
2MASS J18195921+1739190,4835.0,-4.11,29.23879459,34.20,17.665342,18.189955,17.01246
2MASS J21220558-3838347,5060.0,-3.93,42.74947276,23.39,16.338387,16.784647,15.736005
2MASS J22103453+4532401,5290.0,-4.01,27.8584872,35.90,17.146776,,
2MASS J23053906+4334038,4797.0,-4.35,21.32114867,46.90,18.158833,18.694443,17.49526
2SLAQ J214215.41-003636.0,6689.0,,12.61633796,79.26,18.416666,18.65346,18.099339
BD+20 5125B,4748.0,-4.19,18.51631508,54.01,17.753218,18.348425,17.099895
CSO 627,9691.0,,11.44301577,87.39,17.20477,17.2503,17.129667
CSO 903,9064.0,,11.40869784,87.65,17.537415,17.616596,17.451342
EGGR 1,7890.0,-3.19,18.7024868,53.47,16.708513,16.81096,16.516275
EGGR 181,8972.0,-3.34,24.87966028,40.19,16.096136,16.167154,15.973465
EGGR 250,7155.0,-3.63,97.344969,10.27,13.783295,13.928776,13.513198
EGGR 252,6471.0,,51.53569858,19.40,15.307651,15.505647,14.96523
EGGR 322,9614.0,-2.92,34.02415584,29.39,15.021859,15.060868,14.9329815
EGGR 334,11303.0,,17.66432648,56.61,15.568177,15.557997,15.583011
