wdid,teff,logL,parallax,Dpc,G,BP,RP
2MASS J01213782+3440431,7326.0,-3.49,25.78056021,38.79,16.611736,16.773214,16.32891
2MASS J06214164-4016187,6151.0,,42.22708128,23.68,16.071438,16.32913,15.658889
2MASS J21420390+2252290,8839.0,-3.2,21.54461689,46.42,15.877498,15.932299,15.783613
2MASS J21550637+4103067,6525.0,-3.75,16.90360309,59.16,17.97018,18.166775,17.647255
2MASS J22280206+1207334,6918.0,-3.48,29.48847602,33.91,16.20146,16.360464,15.946567
2QZ J112730.3-013801,7575.0,,10.26528102,97.42,18.065424,18.226833,17.88169
BSO 24,9151.0,,10.47993575,95.42,17.570877,17.621258,17.46149
EGGR 346,10732.0,-2.89,22.08984484,45.27,15.525439,15.543584,15.4855585
EGGR 391,6351.0,-3.62,39.15177821,25.54,15.974368,16.234995,15.6061945
EGGR 474,7538.0,,16.36104537,61.12,17.157576,17.269384,16.972126
EGGR 554,6317.0,-3.75,33.643,29.72,16.2258,16.4431,15.8716
G 163-28,6949.0,,27.50673842,36.35,16.46577,16.643126,16.178972
GD 17,8762.0,,22.89381511,43.68,15.96544,16.021294,15.851442
GD 401,8354.0,,20.76051796,48.17,16.173485,16.243866,16.043266
GJ 1211,6720.0,-3.68,56.03750549,17.85,15.095572,15.28722,14.777
GJ 283 A,7650.0,-3.33,109.344,9.15,12.9702,13.0894,12.7477
Gaia DR2 1018659143306715392,4496.0,,13.40169108,74.62,19.431276,20.089891,18.72281
Gaia DR2 1038928502726153984,4557.0,,12.28594061,81.39,19.575115,20.165337,18.885962
Gaia DR2 1044511002434919936,6611.0,,11.92615138,83.85,18.464901,18.63054,18.155455
Gaia DR2 1056003918305358592,5904.0,,14.29655997,69.95,18.497925,18.757654,18.159508
Gaia DR2 1073810479053112192,8638.0,,12.48660709,80.09,17.5203,17.614668,17.339342
Gaia DR2 1078624858218235776,5547.0,,10.57259209,94.58,19.574677,20.1137,19.102192
Gaia DR2 1087402465701252608,4743.0,,11.16691855,89.55,19.642658,20.127447,19.041338
Gaia DR2 1095169656358227456,6480.0,,10.24830153,97.58,18.693848,18.906715,18.399593
Gaia DR2 1112636498076982912,7866.0,,12.00827113,83.28,18.336771,18.510004,18.086657
Gaia DR2 1129832000941901056,4707.0,,14.06797083,71.08,19.12874,19.774448,18.444633
Gaia DR2 113477949402940800,4651.0,,14.53135683,68.82,19.231535,19.782024,18.54976
Gaia DR2 1136073108116352128,6469.0,,19.07465818,52.43,18.007895,18.329967,17.609182
Gaia DR2 1147159582641349888,6655.0,,12.30286933,81.28,18.409163,18.616417,18.139616
Gaia DR2 1182083542272959232,4935.0,,14.43667643,69.27,18.990736,19.500057,18.376905
Gaia DR2 1233762993960131456,5588.0,,11.86418297,84.29,19.186642,19.507635,18.739666
Gaia DR2 1253540837322222336,5664.0,,15.69476766,63.72,18.537746,18.891157,18.033688
Gaia DR2 1260585202163097728,5422.0,,12.65750181,79.00,19.253996,19.622654,18.71775
Gaia DR2 1264639994887264512,7370.0,,10.94844616,91.34,18.534988,18.75987,18.229198
Gaia DR2 1354488924013107584,4586.0,,12.10646579,82.60,19.739416,20.385956,19.041714
Gaia DR2 1362437499729346688,4566.0,,11.26932144,88.74,19.654621,20.375042,18.954187
Gaia DR2 1386691867244096000,6226.0,,12.09007954,82.71,18.511051,18.760284,18.18605
Gaia DR2 1400691059743459584,4894.0,,17.30703751,57.78,18.8449,19.41667,18.203503
Gaia DR2 1414146676886214656,7150.0,,17.63262256,56.71,17.701498,17.904879,17.371357
Gaia DR2 1441623777405642368,4608.0,,12.93462249,77.31,19.63809,20.145655,18.95878
Gaia DR2 1457969976259580544,4556.0,,15.83299369,63.16,19.190645,19.79891,18.500122
Gaia DR2 1481667548507617920,4645.0,,11.63749131,85.93,19.891472,20.532248,19.222795
Gaia DR2 1508390899448035712,4868.0,,16.66940824,59.99,18.769842,19.320513,18.116562
Gaia DR2 1517475790365881856,4772.0,,10.27065453,97.36,19.826658,20.372507,19.206408
Gaia DR2 152931141027253888,5989.0,,15.49495462,64.54,18.235756,18.549376,17.852238
Gaia DR2 156163224178069120,9597.0,,15.29870443,65.37,16.979446,17.054178,16.852833
Gaia DR2 1572454940873010176,5587.0,,11.28875087,88.58,19.095943,19.472609,18.586382
Gaia DR2 1588269594571752704,8675.0,,10.25211168,97.54,18.327719,18.518087,18.138693
Gaia DR2 1592242645479324288,6554.0,,11.12268091,89.91,18.545519,18.76413,18.290384
Gaia DR2 1602720338457152000,4868.0,,16.37434681,61.07,18.928259,19.449093,18.254145
Gaia DR2 1603796073145515136,6899.0,,15.70784086,63.66,18.114033,18.317694,17.757732
Gaia DR2 1604029444488823552,5171.0,,10.55132145,94.77,19.625479,19.958565,19.173113
Gaia DR2 1633840370109794432,4287.0,,12.63712551,79.13,20.138245,20.617691,19.2924
Gaia DR2 1636125872530936192,8965.0,-3.25,16.0138597,62.45,16.565544,16.604504,16.445778
Gaia DR2 165677710612522752,6859.0,,10.70346565,93.43,18.366182,18.509775,18.134962
Gaia DR2 1664401914277704192,6430.0,,23.18741286,43.13,17.10575,17.28908,16.61115
Gaia DR2 1670578244753100672,6155.0,,10.01833215,99.82,19.075764,19.275501,18.757078
Gaia DR2 1686806967659895296,5065.0,,11.38805878,87.81,19.377995,19.950062,18.801743
Gaia DR2 1688036496537485696,6268.0,,15.82289609,63.20,18.9675,19.228949,18.661032
Gaia DR2 168962535956695424,5011.0,,13.98517182,71.50,19.069563,19.589762,18.46173
Gaia DR2 1706625016212384128,9088.0,,17.7264976,56.41,16.882326,16.986334,16.715853
Gaia DR2 1708142445335778304,4604.0,,14.53136076,68.82,19.499386,20.144236,18.855616
Gaia DR2 1709424712117232640,4466.0,,15.9806301,62.58,19.396729,20.104752,18.648243
Gaia DR2 1709799783021380096,6556.0,,12.08612684,82.74,18.677786,18.93966,18.189476
Gaia DR2 1722236328978172928,4481.0,,26.13265621,38.27,18.164917,18.787203,17.440496
Gaia DR2 1758917617430481664,8805.0,,24.10688444,41.48,16.144726,16.24779,15.965791
Gaia DR2 1760134536282476160,4281.0,,14.00919904,71.38,19.503885,20.110142,18.74374
Gaia DR2 1764481588648685440,5954.0,,12.54182289,79.73,18.74286,19.095015,18.296236
Gaia DR2 1773336093224461312,5575.0,,22.21458233,45.02,17.900734,18.216133,17.45145
Gaia DR2 1783621822638688768,6788.0,,10.72616217,93.23,18.527994,18.717339,18.272842
Gaia DR2 1799761927489297152,4695.0,,12.16953204,82.17,19.459396,20.018454,18.83564
